"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2017","2017",65240,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2018","2018",65513,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2019","2019",66058,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2020","2020",66187,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2021","2021",66504,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2014","2014",14281,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2015","2015",14270,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2016","2016",14320,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2017","2017",14578,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2018","2018",14836,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2019","2019",13908,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2020","2020",13819,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2021","2021",13795,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2022","2022",14101,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2008","2008",7848,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2009","2009",7676,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2010","2010",8350,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2011","2011",7930,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2012","2012",8077,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2013","2013",8317,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2014","2014",8275,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2015","2015",8287,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2016","2016",8076,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2017","2017",8022,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2018","2018",7848,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2019","2019",7686,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2020","2020",6422,"B","Break"
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2021","2021",6406,,
"PRT","Portugal","TNBD","Total number of doctors","TOT","Total","2017","2017",51937,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2011","2011",79382,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2012","2012",82917,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2013","2013",86925,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2014","2014",91259,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2015","2015",94949,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2016","2016",99027,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2017","2017",104125,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2018","2018",109934,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2019","2019",115638,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2020","2020",121183,,
"COL","Colombia","TNBD","Total number of doctors","TOT","Total","2021","2021",126279,,
